Carbon Finance Index,"Agriculture, forestry, and fishing, value added USD",Trade in USD,Fossil fuel subsidies in USD,Carbon intensity of energy production (Kg/KWh),Imported or exported CO₂ emissions per capita,Consumption-based carbon intensity (Kg/$),Annual GDP Growth,Fossil fuel consumption per capita (TWh)
-0.09329345,-0.95662147,-0.9392715,-0.98799235,-0.36386186,-0.5761284,-0.16740367,-0.7802426,-0.76385415
0.7681995,-0.98298967,-0.8978627,-0.9902773,-0.9013456,-0.7578129,-1.014339,-0.68118453,-0.65458006
-0.48588303,-0.9508792,-0.3244621,-1.0335604,0.009571305,-0.5592235,-0.28100026,-0.00496047,-0.7669957
-0.5174458,-0.75721395,-0.96452373,-0.6917191,0.5023094,-0.82299393,-0.31365997,-0.13219246,-1.0032967
0.42729026,-1.221463,-1.1806699,-1.0359162,-0.50686973,-0.6437645,-0.41662586,-0.89019704,-0.26524588
-0.092141174,-0.91793215,-0.59434617,-0.51793927,0.20763938,-0.65971214,-0.22543253,-0.19360808,-0.71728206
0.15959024,-0.98634034,-1.0125158,-0.99453086,0.104248814,-0.70354325,-0.74880743,-0.82371,-0.8695625
0.0575789,-1.0188265,-0.848437,-0.67312604,0.25057393,-0.7165295,-0.3750199,-0.45105225,-0.8291389
-0.07682469,-0.98197156,-0.9572932,-0.9562231,-0.5668395,-0.53641415,-0.06838621,-0.878328,-0.6984416
0.23082966,-0.9914509,-0.99902916,-0.9760034,-0.09642851,-0.72556275,-0.7526996,-0.82284117,-0.8145261
1.1306677,-1.0369002,-0.8039522,-0.43043277,1.0612314,-1.2436215,0.25997424,-1.2359605,-0.25906068
0.029334523,-1.0994202,-1.0230072,-0.9504936,-0.28044868,-0.6528893,-0.17513795,-0.8795218,-0.53826296
-0.23070365,-0.95435226,-0.83022106,-0.96072215,-0.38541102,-0.55332845,-0.11656055,-0.6575424,-0.746098
0.73445916,-0.9839202,-0.88171065,-0.94346195,-0.05069153,-0.5389544,-0.5609115,-0.58095396,-0.8222541
-0.5172608,-0.44671112,-0.77363443,-0.80346626,0.74574506,-0.81410515,-0.19142802,-0.054012567,-0.97674096
0.9803035,-0.9974196,-0.9548952,-0.83035845,0.16131108,-0.8504164,-0.26840258,-0.8303258,-0.13215473
-0.11833414,-0.9017536,-0.8767409,-0.7175471,0.2183644,-0.72948974,-0.42746776,-0.38906035,-0.8706486
0.18062064,-1.0139021,-0.98038507,-0.99909157,-0.69028646,-0.6175597,-0.3905484,-0.88318336,-0.6660849
0.69197476,-0.9693624,-0.86947286,-0.97509974,-0.84960514,-0.7130095,-0.8883507,-0.66388017,-0.6365864
-0.05907852,-0.97199255,-0.9234301,-0.93622583,-0.22839694,-0.60855263,-0.30441567,-0.8003252,-0.79128516
0.95776767,-1.0002637,-0.8123308,-0.58976567,0.8089446,-1.0942293,0.08363208,-1.0939858,-0.29730335
0.28674185,-1.0444536,-0.98767304,-0.9777194,-0.48517692,-0.615911,-0.2596148,-0.7985527,-0.38416752
-0.40865034,-0.99955183,-0.633366,-1.0248002,-0.1396588,-0.6125549,-0.2033832,-0.36250272,-0.7739286
-0.13010514,-0.903492,-0.57901686,-0.5445878,0.18084668,-0.6232892,-0.19869703,-0.16771382,-0.6969608
-0.3344542,-1.054451,-1.010273,-0.9741332,-0.52465117,-0.6552747,-0.049085747,-1.0156295,-0.83805346
-0.56663954,-0.9820901,-0.6565185,-1.0473601,-0.027968198,-0.58682066,-0.16931768,0.001108639,-0.82029235
0.99600136,-1.0299579,-0.9010138,-0.97679216,-0.23995925,-0.5224885,-0.65155464,-0.5799281,-0.77269393
0.49284276,-0.97680306,-0.9232362,-0.961091,-0.47457802,-0.70954746,-0.7697917,-0.72107387,-0.757872
-0.77643734,-0.95955646,-0.83701897,-0.98985964,0.050682127,-0.5299657,-0.04645605,0.094351985,-0.6237609
0.94917065,-0.9895159,-0.87649417,-0.8239113,0.3100323,-0.8393318,-0.2516121,-0.8412928,-0.41019297
0.87676084,-0.92426074,-0.7848327,-0.63654286,0.6824448,-0.97123677,0.046701837,-0.96539587,-0.32130334
-0.2734504,-0.8866593,-1.0090657,-0.72326916,0.31286114,-0.8092426,-0.4058217,-0.2987845,-0.97287655
-0.91105247,-0.97799826,-0.997849,-0.979374,0.09606828,-0.54591227,0.06511824,0.15792859,-0.6568668
-0.51655674,-0.9394882,-0.42189047,-1.0623766,0.009686962,-0.5713426,-0.2816643,0.007979985,-0.7840671
0.9176812,-0.9514308,-0.83738065,-0.75161165,0.42821115,-0.8654832,-0.14141567,-0.86520344,-0.41508016
-0.23612547,-0.90714186,-0.7938106,-0.6005728,0.27175373,-0.7086554,-0.3143944,-0.20284766,-0.85625637
0.9458371,-1.0220478,-0.9490715,-1.0030531,-0.5747307,-0.6851936,-0.71092045,-0.63931054,-0.34479478
-0.45706317,-0.7872949,-0.9695623,-0.7030907,0.47924,-0.846717,-0.3335588,-0.20637712,-1.02346
-0.024568222,-0.95250016,-0.8919416,-0.884051,0.1673154,-0.71087545,-0.58952,-0.5601357,-0.87508726
0.9815229,-1.0423646,-1.0218667,-0.97584695,-0.1147856,-0.8059149,-0.46023387,-0.72048837,-0.09677222
-0.4921969,-0.9706815,-0.3323645,-1.0682482,0.004742155,-0.5678765,-0.29674882,0.0127059,-0.7993073
-0.3560455,-0.86764336,-1.004319,-0.7004939,0.34253716,-0.81497955,-0.3747517,-0.24955538,-0.9901789
-0.061924867,-0.91188663,-0.61908585,-0.53073496,0.17614847,-0.64501625,-0.22779079,-0.19412473,-0.73660207
0.94591576,-0.9891368,-0.89732844,-0.76755935,0.4062919,-0.9179053,-0.16094723,-0.93379277,-0.24484274
-0.6938724,-0.1617661,-0.5466168,-0.79036176,1.0228399,-0.82755333,0.01882993,0.09111557,-0.9532583
0.32793182,-0.989995,-0.99814165,-0.98094326,-0.15384574,-0.74441767,-0.8323504,-0.8092771,-0.82698077
-0.5842799,-0.36947876,-0.69843906,-0.7919991,0.81074023,-0.82205266,-0.10073878,0.012552485,-0.9550642
-0.14996049,-0.9181195,-0.64666444,-0.60716194,0.17806129,-0.6453178,-0.2576518,-0.09965714,-0.73712325
-0.826973,-1.0644841,-0.924065,-1.0589936,0.19473211,-0.5890504,-0.20207809,0.4974338,-0.6486557
0.16514578,-0.98492277,-0.7760011,-0.47766936,0.42578542,-0.8232589,-0.1254694,-0.5499035,-0.5919336
0.92182654,-1.0328518,-0.8596051,-0.9576399,-0.117189184,-0.4801072,-0.56465894,-0.5275077,-0.79124945
-0.09116628,-0.897738,-0.55755454,-0.47126207,0.20373735,-0.6369144,-0.19017658,-0.17514116,-0.6839909
-0.42114854,-0.9296394,-0.40929788,-1.0005518,0.011044979,-0.55411243,-0.29078278,-0.07406976,-0.7549862
0.8196102,-1.016517,-0.9067546,-1.0220662,-1.0217301,-0.81038016,-1.0567603,-0.7670415,-0.62173724
-0.1022568,-0.9053722,-1.0508316,-0.87122625,0.24692942,-0.76118994,-0.5824125,-0.56615394,-0.96319497
0.75645643,-0.99298996,-0.9205017,-0.9933345,-0.84374285,-0.7582419,-0.9876496,-0.68051887,-0.65306747
0.04973886,-0.96694046,-0.9863139,-0.81850535,0.1826079,-0.7205766,-0.5602105,-0.54973584,-0.89951235
-0.35842115,-0.9412431,-0.44066358,-0.87620217,0.07460518,-0.58655524,-0.2761315,-0.07354154,-0.7473557
0.35760128,-1.020397,-0.95673025,-1.0315194,-0.7342114,-0.6474088,-0.5672901,-0.8285111,-0.6473595
-0.11995288,-0.9291781,-0.90546715,-0.79904366,0.19674012,-0.7097025,-0.5153886,-0.4814308,-0.89950776
0.29220024,-0.9930172,-1.0028565,-0.99216694,-0.011487432,-0.7175673,-0.7477827,-0.8407243,-0.83570856
0.87367535,-1.0012614,-0.8850754,-0.98427385,-0.21225214,-0.56070113,-0.62283957,-0.6059697,-0.7984469
-0.4145358,-0.94716686,-0.5418068,-0.89473194,0.04365711,-0.58810943,-0.24461801,-0.12997979,-0.7621522
-0.47878996,-0.9380261,-0.3359094,-1.0552695,0.012941634,-0.569808,-0.30135196,0.004159518,-0.8054873
0.76243037,-0.98157,-0.8932376,-0.97755873,-0.8656391,-0.74082255,-1.0026112,-0.68412757,-0.67702854
-0.25091022,-0.89039075,-0.76502544,-0.5921867,0.28090948,-0.7099136,-0.30085748,-0.18701658,-0.8566742
0.6279977,-0.9869138,-0.9277595,-0.9706424,-0.1018946,-0.6231914,-0.67141247,-0.71622807,-0.83655095
0.9872563,-0.9712539,-0.9167838,-0.915808,-0.10290374,-0.73550636,-0.35960454,-0.67683655,-0.16817552
0.3347029,-0.9491919,-0.8922725,-0.99526334,-0.69708484,-0.61954254,-0.54037714,-0.7637214,-0.6356532
0.9193729,-0.9825065,-0.87645656,-0.98108834,-0.2196277,-0.5300363,-0.61211157,-0.5685833,-0.779258
0.73925984,-1.0124676,-0.9837965,-1.000638,-0.6110979,-0.71378917,-0.6232946,-0.6983564,-0.29374668
0.7419226,-1.0488284,-1.0091352,-1.0460578,-0.5612208,-0.6910073,-0.57502544,-0.6913,-0.24822417
0.036737658,-0.9729136,-1.0336194,-1.0052944,0.20297535,-0.7422857,-0.7256962,-0.7689389,-0.8971496
0.6589433,-1.1489744,-1.1424363,-1.0618967,-0.44482315,-0.6707488,-0.46867234,-0.73933834,-0.18149039
-0.24541447,-0.9238435,-0.46646374,-0.7934169,0.108718656,-0.580895,-0.2619479,-0.09241107,-0.70724857
-0.74976045,-0.9457666,-0.9292641,-0.9038086,0.12575206,-0.567457,-0.05032809,0.020952217,-0.6866808
-0.5322964,-0.52359855,-0.83345187,-0.7536215,0.6739166,-0.84647286,-0.19184835,-0.13423392,-1.0130082
-0.28818792,-0.8887053,-0.68998986,-0.88806903,0.3459468,-0.63057405,-0.5379231,0.70431775,-0.688401
-0.22708872,-0.9020732,-1.0198443,-0.75056845,0.2718467,-0.7842248,-0.45912245,-0.3555481,-0.98663175
0.07170252,-0.96365905,-0.8930292,-0.7304865,0.17082183,-0.6940744,-0.42809027,-0.3806096,-0.87672424
-0.13150698,-0.923118,-0.64694417,-0.5306513,0.1991203,-0.64307785,-0.23547791,-0.21836004,-0.7450142
-0.35217962,-0.9062789,-1.044904,-0.7215793,0.33294296,-0.8173455,-0.42027733,-0.26248482,-1.0290971
-0.5502976,-0.9699253,-0.38901117,-1.0671152,0.022451507,-0.5708909,-0.29669246,0.009783722,-0.79280573
0.05112625,-0.95688206,-0.9708349,-0.95644784,0.16994232,-0.7240313,-0.6886089,-0.73272836,-0.89085114
0.28629062,-0.9689013,-0.933582,-0.85526437,0.11210977,-0.6679159,-0.52031654,-0.4915528,-0.85704976
0.97191536,-1.0371418,-1.0568497,-1.0279497,-0.38445652,-0.7175823,-0.4815392,-0.62033314,-0.00080001
