Carbon Finance Index,"Agriculture, forestry, and fishing, value added USD",Trade in USD,Fossil fuel subsidies in USD,Carbon intensity of energy production (Kg/KWh),Imported or exported CO₂ emissions per capita,Consumption-based carbon intensity (Kg/$),Annual GDP Growth,Fossil fuel consumption per capita (TWh)
-0.09499618,-0.90495175,-0.5994979,-0.5276983,0.1853803,-0.6345431,-0.22887377,-0.17763531,-0.71158004
0.20474547,-1.0378696,-0.99037683,-1.0040829,-0.6551337,-0.6602649,-0.44761994,-0.8867236,-0.6785292
0.9151772,-0.9885204,-0.8334288,-0.6203856,0.64250064,-1.007653,0.021301065,-1.0594615,-0.2533547
-0.363046,-0.9840648,-0.6058773,-0.9682098,-0.15819524,-0.60531515,-0.18692838,-0.35116604,-0.7441102
-0.95490324,-1.0128864,-1.0760537,-1.0366672,0.078373745,-0.558601,0.07620202,0.19650352,-0.7334358
-0.08567354,-0.92296135,-0.6560315,-0.5738091,0.17378274,-0.65936905,-0.2620054,-0.20959732,-0.73259914
-0.3393565,-0.18976255,-0.122175574,-0.62431973,0.082852826,-0.66653866,0.30620658,-0.4043037,-0.7170715
-0.97406614,-1.0243609,-1.0342802,-0.96829575,0.107733,-0.5538879,0.053212304,0.18525478,-0.660076
0.986063,-1.0201888,-0.88370985,-0.9821186,-0.2339779,-0.51739913,-0.62186974,-0.5588897,-0.76668626
0.2875898,-1.0430497,-1.0790962,-0.9980907,-0.08946855,-0.78487283,-0.8851348,-0.97075766,-0.9139698
-0.15659529,-0.982309,-0.922113,-0.9715008,-0.44696593,-0.5811698,-0.088262156,-0.78584284,-0.7315481
-0.15229777,-0.9347749,-1.0329366,-0.8361142,0.2596748,-0.79761446,-0.5652601,-0.5383583,-0.9557794
-0.12845877,-0.9497733,-0.69687575,-0.9772235,0.047092155,-0.6611205,-0.4368021,-0.36955497,-0.8179776
-0.4341174,-0.8576501,-1.0064995,-0.6976079,0.38170785,-0.8135782,-0.37968102,-0.17294785,-1.0080658
0.7240272,-0.97201306,-0.8887361,-0.9530225,-0.85689723,-0.73201495,-0.95050263,-0.67841715,-0.6485726
0.8950636,-0.99977154,-0.863375,-0.7483979,0.49355638,-0.9302439,-0.10141133,-0.98347634,-0.27599192
0.89209604,-0.9785736,-0.8111903,-0.76226515,0.44006473,-0.8374103,-0.20526172,-0.8517259,-0.504729
1.0184402,-1.082018,-0.9170562,-1.036043,-0.2579053,-0.5608968,-0.675618,-0.6243843,-0.7371558
-0.48934612,-0.6068879,-0.57046914,-0.9254228,0.609914,-0.6830181,-0.42354608,0.7036882,-0.7688644
-0.24375853,-0.90234095,-1.0253077,-0.7613935,0.28810287,-0.81076646,-0.48750004,-0.39427108,-1.003409
-0.18823543,-1.0635874,-1.0850159,-0.9277442,-0.51376116,-0.5656783,0.059884716,-0.9664353,-0.7311442
-0.9437062,-0.97716284,-0.937174,-0.96778613,0.1492631,-0.5339752,0.001620937,0.19949314,-0.6443332
0.9261838,-0.97788084,-0.98100626,-0.9678918,-0.21752584,-0.73334855,-0.40930974,-0.66007644,-0.018884148
-0.062394038,-0.9874996,-0.973747,-0.9505833,-0.44666934,-0.5904129,-0.12160438,-0.9087244,-0.7188858
-0.22360772,-0.9482925,-0.51831985,-0.7667318,0.15033048,-0.61504716,-0.29740697,-0.13131976,-0.7370748
0.39397705,-1.0101115,-1.0045619,-0.97410554,-0.24455614,-0.76124895,-0.8751141,-0.861343,-0.8237711
0.16701242,-0.99741375,-1.0411093,-1.0074215,0.122037254,-0.75881404,-0.7760185,-0.8988594,-0.90150577
1.0035034,-1.0592691,-1.0505126,-1.0203562,-0.40270555,-0.7202435,-0.4997,-0.62819827,0.036990736
0.6242453,-1.0838317,-0.99439085,-1.0097299,-0.4902885,-0.6689212,-0.4461882,-0.7088236,-0.22584453
-0.47557002,-0.92736673,-0.33050388,-1.0322412,0.003697872,-0.5428689,-0.28475252,0.006503139,-0.75366753
-0.4726989,-0.5009291,-0.67422795,-0.8923208,0.6902785,-0.75927854,-0.30402434,0.33847353,-0.87443995
-0.52941555,-0.68551916,-0.952494,-0.74405444,0.58803254,-0.85392153,-0.31600899,-0.17422757,-1.0226635
