Carbon Finance Index,"Agriculture, forestry, and fishing, value added USD",Trade in USD,Fossil fuel subsidies in USD,Carbon intensity of energy production (Kg/KWh),Imported or exported CO₂ emissions per capita,Consumption-based carbon intensity (Kg/$),Annual GDP Growth,Fossil fuel consumption per capita (TWh)
-0.39693257,-0.9465707,-0.39392796,-0.9474025,0.035948165,-0.57450354,-0.29177418,-0.055443786,-0.7488136
0.8734058,-0.99812526,-0.9195678,-0.9936013,-0.793939,-0.7237912,-0.9012301,-0.71016467,-0.5431485
0.95639896,-0.9925914,-0.9721601,-0.99263966,-0.37134194,-0.7112753,-0.5040528,-0.634094,-0.11894515
-0.032881312,-0.9269343,-0.740184,-0.67359984,0.15551747,-0.6453363,-0.37341163,-0.34127572,-0.7668072
0.07924593,-0.9906397,-1.0427325,-1.0271232,0.19465584,-0.74832886,-0.7457666,-0.8463227,-0.88417566
-0.35262135,-0.8998879,-1.058787,-0.7202782,0.33698148,-0.79263926,-0.3951503,-0.28973684,-1.0006026
-0.48588723,-0.50753355,-0.79353034,-0.79844624,0.6604908,-0.7926703,-0.22980292,-0.050782584,-0.97479653
-0.10181873,-1.023108,-0.963395,-0.99600494,-0.52839583,-0.5931762,-0.09904544,-0.8925339,-0.71955216
-0.0789629,-0.9682032,-0.90578234,-0.96249646,-0.10394126,-0.6437077,-0.40908736,-0.7231284,-0.8542903
0.98178035,-1.0047746,-1.0026126,-0.97144866,-0.28238964,-0.72166336,-0.4158885,-0.66006327,0.008673642
-0.47934482,-0.7943697,-0.97984034,-0.6920982,0.46414512,-0.84080887,-0.32661706,-0.20345178,-1.0262599
-0.9201774,-0.976263,-0.945613,-0.9352276,0.09127225,-0.52288485,0.04799344,0.17120925,-0.61235034
0.85793567,-0.9947436,-0.89089483,-0.9967344,-1.0104674,-0.7540078,-1.0403233,-0.71723527,-0.6168344
0.13431996,-0.981099,-1.0160036,-0.994234,0.13789073,-0.7349578,-0.74163735,-0.8394606,-0.9070738
-0.2732794,-0.9268704,-0.59073204,-0.9770184,-0.07013779,-0.6092338,-0.28149945,-0.3246419,-0.75512916
-0.116000846,-1.0188,-0.98571986,-0.99162835,-0.55152684,-0.57230824,-0.13257517,-0.9121064,-0.6973442
0.906277,-1.0279179,-0.92040217,-1.0279573,-0.74273205,-0.6873829,-0.9331634,-0.659549,-0.6412072
0.88745475,-0.97808063,-0.90790474,-0.9256081,-0.19971766,-0.6793165,-0.44861865,-0.5905569,-0.30682102
-0.5962093,-0.30383295,-0.6726509,-0.8623763,0.91129595,-0.8580577,-0.16836734,0.09001336,-0.97429883
-0.077524714,-0.9267166,-0.6507798,-0.5792699,0.17934823,-0.65093684,-0.26340473,-0.13186309,-0.73914903
-0.19451308,-0.9753736,-0.92883986,-0.7708875,-0.18214206,-0.6238855,0.004376937,-0.85467607,-0.5688008
-0.14875478,-0.9282984,-0.8763465,-0.88730335,-0.20535095,-0.6465589,-0.07468589,-0.8185958,-0.61103535
-0.07815435,-0.9151195,-1.0375031,-0.889643,0.23689134,-0.75934577,-0.62912816,-0.5910146,-0.9515993
-0.54876864,-0.96033514,-0.48737404,-0.9836071,0.04618606,-0.577645,-0.26770884,-0.030088656,-0.77210844
0.5035424,-0.95989263,-0.9429444,-0.9567473,0.031080768,-0.60719496,-0.6437695,-0.71477556,-0.8513695
